A§o,Fecha,Divisi¢n,Brigada,Unidad Reporta Informaci¢n,GAO,FG/BLOQUE/ESTRUCTURA,SE/CM/CP./FU/FT,Tipo de Afectaci¢n,Actividad,Tipo de Actividad,Pa°s,Departamento,Municipio,Vereda o Sitio,Informaci¢n
2023,04/01/2023,DIV3,Medio Abiertos,Whatsapp,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA URIAS ROND‡N,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Nari§o,San AndrÇs de Tumaco,corregimiento_Llorente,"Se conoci¢ la distribuci¢n de un panfleto por redes sociales, fechado el 04 de enero del a§o 2023, difundido al parecer por el Estado Mayor del GAO RESIDUAL Comando Coordinador de Occidente ?CCO?, en el cual, ponen en conocimiento ante la opini¢n p£blica el asesinato de un comunero ind°gena y otro que resulto herido, sobre el sector de Casa Vieja del corregimiento de Llorente del municipio de Tumaco (Nari§o), al parecer por parte de un actor armado, posiblemente (GAO RESIDUAL E Iv†n R°os Segunda Marquetalia), posteriormente, la Columna M¢vil Ur°as Rond¢n decreta el cese de hostilidades en contra de los grupos armados que existen en la regi¢n, como gesto de paz con las comunidades, mientras adelantan los di†logos con el Gobierno Nacional."
2023,10/01/2023,DIV8,BR18,GMRPI18,GAO ELN,FG ORIENTAL,FT. DOMINGO LA÷N SANZ,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Arauca,Saravena,barrio el gaitan,"Barrio el Gait†n del municipio de Saravena (Arauca, en coordenadas aproximadas N 06¯ 56' 55"""""""" W 71¯52'16"""""""", se tuvo conocimiento de las actividades de proselitismo efectuadas por parte de integrantes ?RAT? de la Comisi¢n Ernesto Che Guevara, los cuales el d°a anterior habr°an dejado sobre el sitio en menci¢n, una pancarta alusiva a este Grupo Armado Organizado Ilegal, en la cual hacen referencia de la fecha conmemorativa ?20 a§os de la voz de la libertad?, asimismo dentro de la misma se incluye el mensaje ?La voz de los que no tienen voz?. "
2023,11/01/2023,DIV8,BR18,BIRAN18,GAO ELN,FG ORIENTAL,BATALL‡N HêROES Y MµRTIRES,Poblaci¢n Civil,Confrontaci¢n,GAOr Disidencias FARC y GAO ELN,Colombia,Arauca,Puerto Rond¢n,vereda el paisaje,"Vereda El Paisaje municipio de Puerto Rond¢n (Arauca), coordenadas aproximadas (N06¯31'07""""""""-W71¯01'15""""""""), siendo aproximadamente las 20:30 horas del 10-ENERO-2023, posible desarrollo de enfrentamientos entre presuntos integrantes del GAO Residual Disidencias FARC E-10 y supuestos integrantes del GAO ELN, producto de los cuales habr°an perdido la vida al parecer (a. Solin) posible cabecilla de finanzas del GAO Residual Disidencias FARC E-10 y (a. Fabi†n izquierdo) al parecer segundo cabecilla de la compa§°a Uriel Londo§o del GAO Residual Disidencias FARC."
2023,12/01/2023,DIV3,Medio Abiertos,Whatsapp,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA  JAIME MART÷NEZ,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Valle del Cauca,Jamund°,corregimiento_Villa_Colombia,"Se conoci¢ la distribuci¢n de un panfleto por redes sociales, con fecha del d°a 10 de enero del a§o 2023, difundido al parecer por el Frente Jaime Mart°nez del Comando Coordinador de Occidente ?CCO? (GAO RESIDUAL E JM), en el cual dan a conocer al personal de administradores de los centros comerciales del municipio de Jamund° (Valle de Cauca), para que asistan a una reuni¢n en el corregimiento de Villa Colombia el d°a 14 de enero del a§o 2023 en mencionado municipio, con el fin de tocar temas de posibles pago de impuestos a la estructura."
2023,13/01/2023,DIV7,BR4,BAACA4,GAO-R FACCI‡N CALARCµ,BLOQUE MAGDALENA MEDIO,ESTRUCTURA 36,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Antioquia,Brice§o,µrea general,"13-ENE-2023 PRISELITISMO: se conoci¢ por Twitter, la difusi¢n de un video de autor°a del ?Frente 36 de las FARC? al parecer gravado el 05-ENE-2023; el sujeto llamado Maicol da lectura a un comunicado presuntamente con el prop¢sito de dar a conocer p£blicamente a la comunidad del municipio de Brice§o (Antioquia), una situaci¢n de posible fraccionamiento del mando y control de una comisi¢n de esta estructura armada ilegal liderada por un sujeto llamado Indio, la cual supuestamente luego de una reuni¢n retoma su lineamiento con la ESTRUCTURA 36 . "
2023,13/01/2023,DIV7,BR4,BAJES4,GAO-R FACCI‡N CALARCµ,BLOQUE MAGDALENA MEDIO,ESTRUCTURA 36,Poblaci¢n Civil,Proselitismo,Video,Colombia,Antioquia,Yarumal,CEDE•O,"El 13 de enero de 2023 se conoci¢ por Twitter la difusi¢n de un video de autor°a del ?Frente 36 de las FARC? al parecer gravado el 05-ENE-2023; en este contenido audiovisual un sujeto llamado Maicol da lectura a un comunicado presuntamente con el prop¢sito de dar a conocer p£blicamente a la comunidad del municipio de Brice§o (Ant.) una situaci¢n de posible fraccionamiento del mando y control de una comisi¢n de esta estructura armada ilegal liderada por un sujeto llamado Indio, la cual supuestamente luego de una reuni¢n retoma su lineamiento con la ESTRUCTURA 36 ."
2023,13/01/2023,DIV3,Medio Abiertos,Noticiero,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA CARLOS PATI•O,Fuerza P£blica,Retenci¢n ilegal,Suboficial,Colombia,Cauca,Argelia,corregimiento_El_Plateado,"El d°a 13 del mes de enero del presente a§o, se conoci¢ la difusi¢n de un video por medios abiertos red social, con duraci¢n de 2 minutos, el en cual se muestran al parecer integrantes del GAO RESIDUAL E Carlos Pati§o, vistiendo prendas camuflados pixelados de uso del Ejercito Nacional y portando fusiles AK-47, donde manifiestan una prueba de supervivencia del se§or Sargento Segundo Juan Gabriel Chichanoi, adscrito al Batall¢n de Infanter°a No. 34 """"""""JUANAMBÈ No. ubicado en el municipio de Florencia Caquet†, quien habr°a sido traslado al Batall¢n de Infanter°a 40 ?General Luciano D'ElHuyar? ubicado en el municipio de San Vicente de Chucuri en el departamento de Santander."
2023,15/01/2023,DIV4,BR22,BICAM24,GAO-R FACCI‡N MORDISCO,BLOQUE AMAZONAS,ESTRUCTURA 1 ARMANDO RIOS,Poblaci¢n Civil,Confrontaci¢n,GAOr Disidencias FARC y Delincuencia Com£n,Colombia,Guaviare,Calamar,La Argelia,"Herido por arma de fuego en la vereda la Argelia, municipio de Calamar en el sector conocido como la hacienda , 3 hombres armados de civil con arma corta identific†ndose como guerrilla de la segunda marquetalia adelantaban una reuni¢n para el cobro de extorsi¢n y vacunas, manifiestan los pobladores que llegaron aproximadamente 20 sujetos  disparando, el se§or Clodo Mir¢ S†nchez Ariza,es herido con tres impactos de bala sector espalda, zona lumbar costado derecho, al momento el herido se encuentra en el hospital de calamar recibiendo la debida atenci¢n mÇdica."
2023,16/01/2023,DIV3,Medio Abiertos,Whatsapp,GAO ELN,SIN ESTABLECER,<Nulo>,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Cauca,Pat°a,corregimiento_El_Estrecho,"El d°a 16 de enero de 2023, se conoci¢ la difusi¢n de un panfleto (FALSO), alusivo al GAO ELN, sin fecha, dirigido a los habitantes del corregimiento de El Estrecho municipio de El Bordo Pat°a (Cauca), en donde indican a expendedores y consumidores de alucin¢genos, al igual que a los sujetos identificados con los alias de Trino, Chemerro, Africano y Daniel, para que abandonen la zona en un lapso de 48 horas, de lo contrario citan que ser†n dados de baja."
2023,16/01/2023,DIV3,FUDRA4,BADRA12,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA CARLOS PATI•O,Poblaci¢n Civil,Constre§imiento,Poblaci¢n Civil,Colombia,Cauca,Balboa,casco_urbano,"30 integrantes del GAO RESIDUAL E Carlos Pati§o, al mando del sujeto (a. Jeffer) quien se ha desempe§ado como cabecilla de comisi¢n, en el casco urbano del municipio de Balboa Cauca, intimidando a toda la poblaci¢n civil que se encontraba en la celebraci¢n de los carnavales de blancos y negros, Con estas acciones se evidencia la flagrante violaci¢n a los DD.HH y D.I.H. adem†s de ir en contra de los anuncios del Gobierno Nacional en relaci¢n al cese al fuego y hostilidades por parte de estos GAOr afectando la libre y sana convivencia de la poblaci¢n civil."
